date,price
2026-06-17,585.949
2026-06-18,575.504
2026-06-19,568.070
2026-06-20,568.858
2026-06-21,568.858
2026-06-22,574.115
2026-06-23,566.877
2026-06-24,548.519
2026-06-25,550.919
2026-06-26,553.663
2026-06-27,553.421
2026-06-28,553.421
2026-06-29,543.113
2026-06-30,545.156
2026-07-01,553.218
2026-07-02,557.579
2026-07-03,561.220
2026-07-04,562.648
2026-07-05,562.648
2026-07-06,560.731
2026-07-07,557.500
2026-07-08,544.832
2026-07-09,556.992
2026-07-10,554.135
2026-07-11,555.050
2026-07-12,555.050
2026-07-13,541.415
2026-07-14,548.803
2026-07-15,546.251
2026-07-16,540.323
